# 时间戳(ms),抖动(ms)
186100,5.48
186200,5.48
186300,5.48
186400,5.48
186500,5.48
186600,5.48
186700,5.48
186800,5.48
186900,5.48
187000,5.48
187100,5.48
187200,5.48
187300,5.48
187400,5.48
187500,5.48
187600,5.48
187700,5.48
187800,5.48
187900,5.48
188000,5.48
188100,5.48
188200,5.48
188300,5.48
188400,5.48
188500,5.48
188600,5.48
188700,5.48
188800,5.48
188900,5.48
189000,5.48
189100,5.48
189200,5.48
189300,5.48
189400,5.48
189500,5.48
189600,5.48
189700,5.48
189800,5.48
189900,5.48
190000,5.48
190100,5.48
190200,5.48
190300,5.48
190400,5.48
190500,5.48
190600,5.48
190700,5.48
190800,5.48
190900,5.48
191000,5.48
191100,5.48
191200,5.48
191300,5.48
191400,5.48
191500,5.48
191600,5.48
191700,5.48
191800,5.48
191900,5.48
192000,5.48
192100,5.48
192200,5.48
192300,5.48
192400,5.48
192500,5.48
192600,5.48
192700,5.48
192800,5.48
192900,5.48
193000,5.48
193100,5.48
193200,5.48
193300,5.48
193400,5.48
193500,5.48
193600,5.48
193700,5.48
193800,5.48
193900,5.48
194000,5.48
194100,5.48
194200,5.48
194300,5.48
194400,5.48
194500,5.48
194600,5.48
194700,5.48
194800,5.48
194900,5.48
195000,5.48
195100,5.48
195200,5.48
195300,5.48
195400,5.48
195500,5.48
195600,5.48
195700,5.48
195800,5.48
195900,5.48
196000,5.48
196100,5.48
196200,5.48
196300,5.48
196400,5.48
196500,5.48
196600,5.48
196700,5.48
196800,5.48
196900,5.48
197000,5.48
197100,5.48
197200,5.48
197300,5.48
197400,5.48
197500,5.48
197600,5.48
197700,5.48
197800,5.48
197900,5.48
198000,5.48
198100,5.48
198200,5.48
198300,5.48
198400,17.84
198500,17.84
198600,17.84
198700,17.84
