# 时间戳(ms),RTT(ms)
146700,34.12
146800,34.12
146900,34.12
147000,34.12
147100,34.12
147200,34.12
147300,34.12
147400,34.12
147500,34.12
147600,34.12
147700,34.12
147800,34.12
147900,34.12
148000,34.12
148100,34.12
148200,34.12
148300,34.12
148400,34.12
148500,34.12
148600,34.12
148700,34.12
148800,34.12
148900,34.12
149000,34.12
149100,34.12
149200,34.12
149300,34.12
149400,34.12
149500,34.12
149600,34.12
149700,34.12
149800,34.12
149900,34.12
150000,34.12
150100,34.12
150200,34.12
150300,34.12
150400,34.12
150500,34.12
150600,34.12
150700,34.12
150800,34.12
150900,34.12
151000,34.12
151100,34.12
151200,34.12
151300,34.12
151400,34.12
151500,34.12
151600,34.12
151700,34.12
151800,34.12
151900,34.12
152000,34.12
152100,34.12
152200,34.12
152300,34.12
152400,34.12
152500,34.12
152600,34.12
152700,34.12
152800,34.12
152900,34.12
153000,34.12
153100,34.12
153200,34.12
153300,34.12
153400,34.12
153500,34.12
153600,34.12
153700,34.12
153800,34.12
153900,34.12
154000,34.12
154100,34.12
154200,34.12
154300,34.12
154400,34.12
154500,34.12
154600,34.12
154700,34.12
154800,34.12
154900,34.12
155000,34.12
155100,34.12
155200,34.12
155300,34.12
155400,34.12
155500,34.12
155600,34.12
155700,34.12
155800,34.12
155900,34.12
156000,34.12
156100,34.12
156200,34.12
156300,34.12
156400,34.12
156500,34.12
156600,34.12
156700,34.12
156800,34.12
156900,34.12
157000,34.12
157100,34.12
157200,34.12
157300,34.12
157400,34.12
157500,34.12
157600,34.12
157700,34.12
157800,34.12
157900,34.12
158000,34.12
158100,34.12
158200,34.12
158300,34.12
158400,34.12
158500,34.12
158600,34.12
158700,34.12
158800,34.12
158900,34.12
159000,34.12
159100,34.12
159200,34.12
159300,34.12
159400,34.12
159500,34.12
159600,34.12
159700,34.12
159800,34.12
159900,34.12
160000,34.12
160100,34.12
160200,34.12
160300,34.12
160400,34.12
160500,34.12
160600,34.12
160700,34.12
160800,34.12
160900,34.12
161000,34.12
161100,34.12
161200,34.12
161300,34.12
161400,34.12
161500,34.12
161600,34.12
161700,34.12
161800,34.12
161900,34.12
162000,34.12
162100,34.12
162200,34.12
162300,34.12
162400,34.12
162500,34.12
162600,34.12
162700,34.12
162800,34.12
162900,34.12
163000,34.12
163100,34.12
163200,34.12
163300,34.12
163400,34.12
163500,34.12
163600,34.12
163700,34.12
163800,34.12
163900,34.12
164000,34.12
164100,34.12
164200,34.12
164300,34.12
164400,34.12
164500,34.12
164600,34.12
164700,34.12
164800,34.12
164900,34.12
165000,34.12
165100,34.12
165200,34.12
165300,34.12
165400,34.12
165500,34.12
165600,34.12
165700,34.12
165800,34.12
165900,34.12
166000,34.12
166100,34.12
166200,34.12
166300,34.12
166400,34.12
166500,34.12
166600,34.12
166700,34.12
166800,34.12
166900,34.12
167000,34.12
167100,34.12
167200,34.12
167300,34.12
167400,34.12
167500,34.12
167600,34.12
167700,34.12
167800,34.12
167900,34.12
168000,34.12
168100,34.12
168200,34.12
168300,34.12
168400,34.12
168500,34.12
168600,34.12
168700,34.12
168800,34.12
168900,34.12
169000,34.12
169100,34.12
169200,34.12
169300,34.12
169400,34.12
169500,34.12
169600,34.12
169700,34.12
169800,34.12
169900,34.12
170000,34.12
170100,34.12
170200,34.12
170300,34.12
170400,34.12
170500,34.12
170600,34.12
170700,34.12
170800,34.12
170900,34.12
171000,34.12
171100,34.12
171200,34.12
171300,34.12
171400,34.12
171500,34.12
171600,34.12
171700,34.12
171800,34.12
171900,34.12
172000,34.12
172100,34.12
172200,34.12
172300,34.12
172400,34.12
172500,34.12
172600,34.12
172700,34.12
172800,34.12
172900,34.12
173000,34.12
173100,34.12
173200,34.12
173300,34.12
173400,34.12
173500,34.12
173600,34.12
173700,34.12
173800,34.12
173900,34.12
174000,34.12
174100,34.12
174200,34.12
174300,34.12
174400,34.12
174500,34.12
174600,34.12
174700,34.12
174800,34.12
174900,34.12
175000,34.12
175100,34.12
175200,34.12
175300,34.12
175400,34.12
175500,34.12
175600,34.12
175700,34.12
175800,34.12
175900,34.12
176000,34.12
176100,34.12
176200,34.12
176300,34.12
176400,34.12
176500,34.12
176600,34.12
176700,34.12
176800,34.12
176900,34.12
177000,34.12
177100,34.12
177200,34.12
177300,34.12
177400,34.12
177500,34.12
177600,34.12
177700,34.12
177800,34.12
177900,34.12
178000,34.12
178100,34.12
178200,34.12
178300,34.12
178400,34.12
178500,34.12
178600,34.12
178700,34.12
178800,34.12
178900,34.12
179000,34.12
179100,34.12
179200,34.12
179300,34.12
179400,34.12
179500,34.12
179600,34.12
179700,34.12
179800,34.12
179900,34.12
180000,34.12
180100,34.12
180200,34.12
180300,34.12
180400,34.12
180500,34.12
180600,34.12
180700,34.12
180800,34.12
180900,34.12
181000,34.12
181100,34.12
181200,34.12
181300,34.12
181400,34.12
181500,34.12
181600,34.12
181700,34.12
181800,34.12
181900,34.12
182000,34.12
182100,34.12
182200,34.12
182300,34.12
182400,34.12
182500,34.12
182600,34.12
182700,34.12
182800,34.12
182900,34.12
183000,34.12
183100,34.12
183200,34.12
183300,34.12
183400,34.12
183500,34.12
183600,34.12
183700,34.12
183800,34.12
183900,34.12
184000,34.12
184100,34.12
184200,34.12
184300,34.12
184400,34.12
184500,34.12
184600,34.12
184700,34.12
184800,34.12
184900,34.12
185000,34.12
185100,34.12
185200,34.12
185300,34.12
185400,34.12
185500,34.12
185600,34.12
185700,34.12
185800,34.12
185900,34.12
186000,34.12
186100,34.12
186200,34.12
186300,34.12
186400,34.12
186500,34.12
186600,34.12
186700,34.12
186800,34.12
186900,34.12
187000,34.12
187100,34.12
187200,34.12
187300,34.12
187400,34.12
187500,34.12
187600,34.12
187700,34.12
187800,34.12
187900,34.12
188000,34.12
188100,34.12
188200,34.12
188300,34.12
188400,34.12
188500,34.12
188600,34.12
188700,34.12
188800,34.12
188900,34.12
189000,34.12
189100,34.12
189200,34.12
189300,34.12
189400,34.12
189500,34.12
189600,34.12
189700,34.12
189800,34.12
189900,34.12
190000,34.12
